acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,name,preview_url,album_id,album_type,artist_id,image_300,image_64,image_640,album_name,release_date,artist_name,zero,one,nn_distance,closest_track_id,album_distance
0.94,0.53,286159.0,0.18,3kFDnFj6asUJsUPodsWT2o,0.0,9.0,0.0685,-12.0,1.0,0.03,95.0,3.0,0.3,Away from the Current (Piano Version),https://p.scdn.co/mp3-preview/53df8d0ca25774ac6f32656c731203c5b79ae4dc?cid=3b33859d46fe4fd1a085151a8fefa86d,7Lnn2od0JUFPDM6H9RXPBQ,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/8391a495821e85255387895b1097908f00b768b3,https://i.scdn.co/image/9c522df1f7f08ce7b65c9b505aaf35b2ac9a7d9e,https://i.scdn.co/image/61b93caef24cffea5fc330f7e9598e3c00f6d93a,Away from the Current (Piano Version),2018,Keiko Necesario,2.7281197127109564,0.07782549138068995,0.1424859974239345,6iHpgThFkznP4xEk4gL9ds,
0.23,0.52,276625.0,0.53,1I4FVXxMHTy07BvPO1mVjA,0.0,2.0,0.0991,-9.0,0.0,0.05,127.0,4.0,0.18,Blithe,https://p.scdn.co/mp3-preview/eb26892ab91d76256e9a2ee641396cdc80df0037?cid=3b33859d46fe4fd1a085151a8fefa86d,5ekL2fwFPglRj6BvLLU26A,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/c0f426a1f59c24737c9ef19dfda02d2bb7889cf7,https://i.scdn.co/image/53cbcae495e1ab18bb4252baa37f3bd1ae4b2f99,https://i.scdn.co/image/a96d2b2c57d0e877e6b5f2f831b5e8d46f7baa6b,Blithe,2018,Keiko Necesario,0.2906150883991494,-0.8973319758193236,0.034424761013416766,3fjghr95n2g1CMfMUNRNhe,
0.17,0.69,169000.0,0.67,2vqAmth0yZZbBxwmVdE9V2,0.0,3.0,0.308,-6.0,1.0,0.02,111.0,4.0,0.66,Panaginip,https://p.scdn.co/mp3-preview/f4ec898a5de17d317e29be1169624591b6708d1e?cid=3b33859d46fe4fd1a085151a8fefa86d,6fRKrRev7RcNBXCm326IXw,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack),2018,Keiko Necesario,-1.1585183380431117,1.114387864318297,0.04009457895555528,3gCt0m6pOS9Qmnr5N59itH,
0.84,0.33,261935.0,0.15,39fNON9tzWSkuLbpGAHJnD,0.0,1.0,0.14400000000000002,-14.0,1.0,0.03,124.0,4.0,0.19,Connection,https://p.scdn.co/mp3-preview/adeb9b04e00bc9506a870c49b47c8625730e25bc?cid=3b33859d46fe4fd1a085151a8fefa86d,6fRKrRev7RcNBXCm326IXw,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack),2018,Keiko Necesario,2.939563668262702,-1.5550511649524916,0.10516794101478118,7A9049Pua997dwx7M9v8d4,
0.88,0.42,243500.0,0.21,23GURsZ8hfMKVjUpm16IMq,0.0,2.0,0.11699999999999999,-13.0,1.0,0.04,139.0,4.0,0.23,Maybe in Another Lifetime,https://p.scdn.co/mp3-preview/393aee732146fda8572c0d2a6c8997e508768238?cid=3b33859d46fe4fd1a085151a8fefa86d,6fRKrRev7RcNBXCm326IXw,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack),2018,Keiko Necesario,2.474574882259702,-1.2132163100703008,0.14610693240023226,396CunFhumd166HkToOofh,
0.89,0.42,268382.0,0.11,06AxnsCACcLbrkVVCA6UCv,0.0,9.0,0.11599999999999999,-12.0,1.0,0.04,125.0,4.0,0.27,Paano Na?,https://p.scdn.co/mp3-preview/27a622e37ce12c194bedce3de66a6dfb92a0bdd4?cid=3b33859d46fe4fd1a085151a8fefa86d,6fRKrRev7RcNBXCm326IXw,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/b3ba2776d129b552a8319d8f053ac9c97dafa7ab,https://i.scdn.co/image/d2451460b17295c19c456d5bc29cc9a893b73d0b,https://i.scdn.co/image/1af5c100685384810c833019cebeb0c527fbdcce,Ang Babaeng Allergic Sa Wifi (Original Motion Picture Soundtrack),2018,Keiko Necesario,2.6953485915611664,-0.9706554256403889,0.06471114355294273,4zT7DailyQrDhNsGltxpGv,
0.48,0.5,270698.0,0.55,6b5pWdPQy9i85vBZR3pl2T,0.0,0.0,0.10400000000000001,-8.0,1.0,0.04,172.0,4.0,0.29,Di Bale Na,https://p.scdn.co/mp3-preview/ff62e4ee99ce31af1ebc5df36ff2df1a2e6178c5?cid=3b33859d46fe4fd1a085151a8fefa86d,1Sj39kljA9dzt4Mu9OcuXW,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/a2e25b0a39a51ddf378540dfb60e2e0fa8cd365e,https://i.scdn.co/image/00cc1f35b289128e84a9685068ca55568678c94b,https://i.scdn.co/image/a7ac404972070d0f259647cfea90f7c595510460,Di Bale Na,2018,Keiko Necesario,0.027918746378523002,-1.3055396982333622,0.05703463515949039,5Y33pd27lE5hznJFeD4dAk,
0.03,0.81,231207.0,0.6,54Xd504CFfd9jWTcpNPg2U,0.0,2.0,0.0938,-7.0,1.0,0.05,116.0,4.0,0.71,While We Are Young,https://p.scdn.co/mp3-preview/4334e7291f2d51d3bfd2d8bc07104c08f24c7e7c?cid=3b33859d46fe4fd1a085151a8fefa86d,7B29Ri50mUo61JNbnH8dre,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0,https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad,https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73,Escape,2017,Keiko Necesario,-1.1000905091618296,1.8433614308536428,0.08602022364204716,0hcUZZIStAnMoiMm7Xeh3w,
0.2,0.48,251294.0,0.66,0ghwbO2V01fXhpMMwx0sw1,0.0,3.0,0.10400000000000001,-10.0,1.0,0.1,85.0,4.0,0.7,Highway,https://p.scdn.co/mp3-preview/f2b234b644fad3786cd918ea33cb190befde24bb?cid=3b33859d46fe4fd1a085151a8fefa86d,7B29Ri50mUo61JNbnH8dre,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0,https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad,https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73,Escape,2017,Keiko Necesario,-0.5320593197728739,0.9134030374609138,0.029537939925980045,3JYlmYPaEh9csIGUPMAGp4,
0.66,0.54,301622.0,0.52,6KCKbh4PXZGP7Rykg2v6gj,0.01,6.0,0.0962,-11.0,1.0,0.03,148.0,4.0,0.18,Escape,https://p.scdn.co/mp3-preview/af3def5aa54572f1c3e80a7e7f100d5480eb7585?cid=3b33859d46fe4fd1a085151a8fefa86d,7B29Ri50mUo61JNbnH8dre,single,0DouUeF604QbSdKYIL3xrq,https://i.scdn.co/image/0170ed608877f1d6f73921d03138f3f14fda76e0,https://i.scdn.co/image/834c4e569e01a0507ad85d3c4e0ddce8f77cecad,https://i.scdn.co/image/1976a129a79d26ed25c6b58d712bd88593abbd73,Escape,2017,Keiko Necesario,1.0758617326240303,-0.9982150562451376,0.04028861296613797,2ICssQkD3jnm6sWc4tEttR,
